,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Fiscal Year
",Table,All major crops,Food crops,Fibre crops,Other crops,Wheat,Maize,Rice,Sugarcance,Cotton,,,,,,,
2003-04,,28624,1087,720,378,39.9,20.7,356.2,132.9,45.2,"8,102 8.4",42.4,,,,,
2004-05,,29438,1115,739,384,40,20.7,365.1,136.3,45.2,"8,529 8.6",42.6,,,,,
2005-06**,,31970,1449,554,512,40.1,20.3,633.5,203.3,51.4,"9,712 11.4",43.3,,,,,
2006-07,,32996,1498,566,554,40.6,20.8,652.5,209.2,52.7,"10,197 11.8",44.3,,,,,
2007-08,,34064,1549,578,601,41,21.4,672.2,215.3,54.1,"10,711 12.2",45.3,,,,,
2008-09,,35160,1601,590,652,41.5,22,692.4,221.6,55.4,"11,258 12.6",46.3,,,,,
2009-10,,36299,1655,603,707,42,22.6,713.4,228.1,56.8,"11,839 13.0",47.4,,,,,
2010-11,,37475,1711,616,767,42.5,23.2,735.1,234.8,58.3,"12,857 13.5",48.5,,,,,
2011-12,,38617,1769,629,834,43,23.8,757.5,241.7,59.8,"13,114 13.9",49.6,,,,,
2012-13,,39855,1829,643,907,43.6,24.4,780.5,248.8,61.3,"13,813 14.4",50.7,,,,,
2013-14,,41133,1887,657,987,44.1,25.1,802.9,255.8,62.8,"14,556 14.9",51.9,,,,,
2014-15,,42454,1951,671,1074,44.6,25.8,827.2,263.3,64.4,"15,346 15.4",53.1,,,,,
2015-16,,43818,2017,686,1170,45.1,26.5,852.3,271,66.1,"16,188 15.9",54.3,,,,,
2016-17,,45227,2085,701,1276,45.7,27.2,878.2,279,67.8,"17,083 16.4",55.5,,,,,
2017-18,,P,46682,2155,717,1391,46.2,27.9,904.9,287.3,69.5,"18,037 17.0",56.8,,,,
